"Period","Total","Confirmed","Discharged","Isolated","Deceased","Being_tested","Tested_negative","Date"
2,1,1,0,1,0,0,0,2020-01-20
2,11,1,0,1,0,3,7,2020-01-21
2,27,2,0,2,0,0,25,2020-01-24
2,51,3,0,3,0,1,47,2020-01-26
2,187,4,0,4,0,28,155,2020-01-29
2,251,11,0,11,0,41,199,2020-01-30
2,371,12,0,12,0,70,289,2020-02-01
2,429,15,0,15,0,87,327,2020-02-02
2,607,16,0,16,0,129,462,2020-02-04
2,714,18,0,18,0,174,522,2020-02-05
2,885,23,0,23,0,169,693,2020-02-06
2,1130,24,0,24,0,264,842,2020-02-07
2,1701,24,2,22,0,620,1057,2020-02-08
2,1701,24,2,22,0,620,1057,2020-02-09
2,2776,27,3,24,0,809,1940,2020-02-10
2,4325,28,4,24,0,762,3535,2020-02-11
2,5074,28,4,24,0,992,4054,2020-02-12
2,5797,28,7,21,0,670,5099,2020-02-13
2,6854,28,7,21,0,692,6134,2020-02-14
2,6854,28,7,21,0,692,6134,2020-02-15
2,7919,29,9,20,0,577,7313,2020-02-16
2,7919,29,9,20,0,577,7313,2020-02-17
2,9265,31,10,21,0,957,8277,2020-02-18
2,9265,31,10,21,0,957,8277,2020-02-19
2,12161,82,16,66,0,1633,10446,2020-02-20
2,14816,156,16,139,1,2707,11953,2020-02-21
2,19621,346,17,327,2,5481,13794,2020-02-22
2,22633,556,18,534,4,6039,16038,2020-02-23
2,28615,763,18,738,7,8725,19127,2020-02-24
2,36716,893,22,863,8,13273,22550,2020-02-25
2,46127,1146,22,1113,11,16734,28247,2020-02-26
2,57990,1595,24,1559,12,21097,35298,2020-02-27
2,70940,2022,26,1983,13,24751,44167,2020-02-28
2,85693,2931,27,2888,16,29154,53608,2020-02-29
2,96985,3526,30,3479,17,32422,61037,2020-03-01
2,109591,4212,31,4159,22,33799,71580,2020-03-02
2,125851,4812,34,4750,28,35555,85484,2020-03-03
2,136707,5328,41,5255,32,28414,102965,2020-03-04
2,146541,5766,88,5643,35,21810,118965,2020-03-05
2,164740,6284,108,6134,42,21832,136624,2020-03-06
2,178189,6767,118,6605,44,19620,151802,2020-03-07
2,188518,7134,130,6954,50,19376,162008,2020-03-08
2,202669,7382,166,7165,51,18771,176516,2020-03-09
2,210144,7513,247,7212,54,18452,184179,2020-03-10
2,227039,7755,288,7407,60,17959,201325,2020-03-11
2,234998,7869,333,7470,66,17727,209402,2020-03-12
2,248349,7979,510,7402,67,17680,222690,2020-03-13
2,261335,8086,714,7300,72,17634,235615,2020-03-14
2,269310,8162,834,7253,75,17335,243813,2020-03-15
2,276655,8232,1137,7020,75,17059,251364,2020-03-16
2,285889,8320,1401,6838,81,16712,260857,2020-03-17
2,295647,8413,1540,6789,84,16346,270888,2020-03-18
2,307024,8565,1947,6527,91,15904,282555,2020-03-19
2,316664,8652,2233,6325,94,15525,292487,2020-03-20
2,327509,8799,2612,6085,102,15704,303006,2020-03-21
2,331780,8897,2909,5884,104,14540,308343,2020-03-22
2,338036,8961,3166,5684,111,13628,315447,2020-03-23
2,348582,9037,3507,5410,120,15440,324105,2020-03-24
2,357896,9137,3730,5281,126,14278,334481,2020-03-25
2,364942,9241,4144,4966,131,14369,341332,2020-03-26
2,376961,9332,4528,4665,139,15219,352410,2020-03-27
2,387925,9478,4811,4523,144,16564,361883,2020-03-28
2,394141,9583,5033,4398,152,15028,369530,2020-03-29
2,395194,9661,5228,4275,158,13531,372002,2020-03-30
2,410564,9786,5408,4216,162,16892,383886,2020-03-31
2,421547,9887,5567,4155,165,16585,395075,2020-04-01
2,431743,9976,5828,3979,169,17885,403882,2020-04-02
2,443273,10062,6021,3867,174,18908,414303,2020-04-03
2,455032,10156,6325,3654,177,20144,424732,2020-04-04
2,461233,10237,6463,3591,183,19571,431425,2020-04-05
2,466804,10284,6598,3500,186,19295,437225,2020-04-06
2,477304,10331,6694,3445,192,20650,446323,2020-04-07
2,486003,10384,6776,3408,200,17858,457761,2020-04-08
2,494711,10423,6973,3246,204,15509,468779,2020-04-09
2,503051,10450,7117,3125,208,15298,477303,2020-04-10
2,510479,10480,7243,3026,211,14070,485929,2020-04-11
2,514621,10512,7368,2930,214,13788,490321,2020-04-12
2,518743,10537,7447,2873,217,13391,494815,2020-04-13
2,527438,10564,7534,2808,222,14651,502223,2020-04-14
2,534552,10591,7616,2750,225,15026,508935,2020-04-15
2,538775,10613,7757,2627,229,14268,513894,2020-04-16
2,546463,10635,7829,2576,230,14186,521642,2020-04-17
2,554834,10653,7937,2484,232,13550,530631,2020-04-18
2,559109,10661,8042,2385,234,12243,536205,2020-04-19
2,563035,10674,8114,2324,236,11981,540380,2020-04-20
2,571014,10683,8213,2233,237,12721,547610,2020-04-21
2,577959,10694,8277,2179,238,12121,555144,2020-04-22
2,583971,10702,8411,2051,240,10139,563130,2020-04-23
2,589520,10708,8501,1967,240,9600,569212,2020-04-24
2,595161,10718,8635,1843,240,9259,575184,2020-04-25
2,598285,10728,8717,1769,242,8999,578558,2020-04-26
2,601660,10738,8764,1731,243,8895,582027,2020-04-27
2,608514,10752,8854,1654,244,9203,588559,2020-04-28
